Number,Gender,NameSet,Title,GivenName,MiddleInitial,Surname,StreetAddress,City,State,StateFull,ZipCode,Country,CountryFull,EmailAddress,Username,Password,BrowserUserAgent,TelephoneNumber,TelephoneCountryCode,MothersMaiden,Birthday,Age,TropicalZodiac,CCType,CCNumber,CVV2,CCExpires,NationalID,UPS,WesternUnionMTCN,MoneyGramMTCN,Color,Occupation,Company,Vehicle,Domain,BloodType,Pounds,Kilograms,FeetInches,Centimeters,GUID,Latitude,Longitude
114,female,"Chinese (Traditional)",Mrs.,雅菁,哲,黎,"4867 Amethyst Drive",Southfield,MI,Michigan,48075,US,"United States",LiYaJing@einrot.com,Ripplexprem,ahjoh1eiK8Ai,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36",517-292-2207,1,龍,8/10/1999,20,Leo,Visa,4916400480626008,192,2/2021,364-88-6196,"1Z 280 265 16 7236 699 5",2241843194,02975597,Black,"Sales worker",Druther's,"1998 Nissan Maxima",ChildHumor.com,A+,142.3,64.7,"5' 7""",171,a8516281-099b-40d4-bce1-4cf53aa1974a,42.412183,-83.136954
115,female,"Chinese (Traditional)",Ms.,佩君,淑,李,"2901 Cabell Avenue","Dale City",VA,Virginia,22193,US,"United States",LiPeiJun@armyspy.com,Atuddrefould,wah1xohPhoo,"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36",703-583-7628,1,嚴,6/17/1986,33,Gemini,Visa,4916814689326691,239,1/2024,694-01-8257,"1Z 987 540 98 4256 532 1",0829914229,72410732,Black,"Aircraft systems assembler",Keeney's,"2001 Vauxhall Astra",fiken.com,O+,171.8,78.1,"5' 3""",160,9f1f19dd-920f-4a75-9e61-894941989917,38.634442,-77.281389
116,female,"Chinese (Traditional)",Mrs.,嬿朱,俊,胡,"789 Emma Street",Shallowater,TX,Texas,79363,US,"United States",HuYanShu@armyspy.com,Sarythe,AeQu3ieboh,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/70.0.3538.77 Safari/537.36",806-832-2234,1,黎,9/17/1997,22,Virgo,MasterCard,5580707403581330,951,6/2025,455-30-5996,"1Z 643 926 60 3407 295 0",0525715904,14578718,Blue,Caulker,"Personal & Corporate Design","2005 Dodge Magnum",richardcathey.com,O+,108.9,49.5,"5' 5""",164,35de2144-e3b1-4f80-ad54-f4bd86f90f62,33.731645,-102.058732
117,male,"Chinese (Traditional)",Mr.,令侃,靜,郝,"2383 Asylum Avenue",Danbury,CT,Connecticut,06810,US,"United States",ShiLingKan@fleckens.hu,Amingin,Ushequ4qu,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.103 Safari/537.36",203-733-5311,1,秦,5/5/1959,60,Taurus,Visa,4485644846383694,666,10/2024,042-96-0813,"1Z 030 84A 62 3457 364 4",3069085266,34211373,Green,"Nurse informaticist","Play Town","2004 Mercedes-Benz SLK",amblersave.com,O+,179.7,81.7,"6' 0""",184,4000b4e2-fdba-4a09-a330-34031bef7b41,41.46515,-73.489968
118,female,"Chinese (Traditional)",Ms.,婷婷,令,倪,"1115 Davis Avenue",Dixon,CA,California,95620,US,"United States",NiTingTing@dayrep.com,Therld,Loi8viirae,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/18.17763",707-693-4639,1,劉,11/13/1972,47,Scorpio,Visa,4916715446753491,974,10/2023,573-67-0264,"1Z 147 V52 34 8302 391 7",9593818034,93537040,Yellow,"Clinical laboratory technician","Life's Gold","2007 Hyundai H100",vidiss.com,O+,138.8,63.1,"5' 3""",160,0a54da0f-1c13-4316-9cb5-5b5dccd5a02f,38.34909,-121.721948
119,female,"Chinese (Traditional)",Mrs.,郁雯,忠,薛,"2290 Zappia Drive",Lexington,KY,Kentucky,40509,US,"United States",XieYuWen@einrot.com,Darke1992,ia4Xu3aequ2,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:66.0) Gecko/20100101 Firefox/66.0",859-333-0677,1,彭,1/15/1992,28,Capricorn,MasterCard,5441055992716043,431,7/2022,401-74-9034,"1Z Y66 558 82 5882 106 5",2084751917,92897970,Blue,Essayist,Finast,"2001 Land Rover Range Rover",xtqk.com,O+,124.3,56.5,"5' 1""",156,e7d3e438-b280-4724-92f5-e511b9b08e58,38.057898,-84.292332
120,male,"Chinese (Traditional)",Mr.,﻿明達,曉,萬,"3548 Parker Drive",Cleveland,OH,Ohio,44115,US,"United States",WanMingTi@fleckens.hu,Humque,cheilei6Eiz,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36",216-601-6586,1,郝,12/14/1934,85,Sagittarius,MasterCard,5311001258113019,616,9/2021,271-54-4015,"1Z 008 V11 55 6031 503 6",3112927529,53089988,Red,Specialist,"Ukrop's Super Market","2006 SsangYong Rodius",tiatells.com,A+,184.4,83.8,"5' 8""",173,98daead3-0375-4a3d-a742-37a9b8d22565,41.562232,-81.621498
121,male,"Chinese (Traditional)",Mr.,威廷,紹,黎,"3933 Griffin Street",Phoenix,AZ,Arizona,85003,US,"United States",LiWeiTing@jourrapide.com,Shoarearded84,Yiaxoo8l,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36",602-258-7957,1,崔,9/14/1984,35,Virgo,MasterCard,5312357391081516,112,8/2021,527-45-3249,"1Z 051 690 53 8732 639 7",9316498903,34705680,Green,"Legal secretary","L.L. Berger","2006 Ford Ecosport",klonruk.com,O+,226.2,102.8,"6' 0""",184,7b4a325f-7375-4707-8119-7d4eb31fbfe4,33.503145,-112.128675
122,female,"Chinese (Traditional)",Ms.,心怡,胤,潘,"1491 Elm Drive","New York",NY,"New York",10014,US,"United States",PanXinYi@armyspy.com,Succubly,Yeisa6EPh,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:66.0) Gecko/20100101 Firefox/66.0",646-414-3890,1,賴,11/28/1993,26,Sagittarius,Visa,4556456178877761,044,2/2023,072-64-4476,"1Z V88 018 60 2086 776 5",5367536876,93691411,Blue,"Nursing aide","Omni Tech Solutions","1998 Hyundai Accent",tpemedia.com,B+,213.8,97.2,"5' 3""",159,adf68f84-dfed-46bf-9d3f-fcafb5898b66,40.820476,-73.960183
123,male,"Chinese (Traditional)",Mr.,嘉瑩,毓,潘,"4149 State Street",Detroit,MI,Michigan,48226,US,"United States",PanJiaYing@armyspy.com,Youder,ge2Quoh0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.108 Safari/537.36",313-964-1137,1,余,8/30/1943,76,Virgo,MasterCard,5320981573491696,063,12/2025,386-21-7841,"1Z 666 2Y5 21 7578 965 6",2232282117,12926834,Orange,"Gaming manager",Tradewell,"2003 Nissan 350Z",technologyfinde.com,B+,220.7,100.3,"5' 8""",173,95a87326-587e-46bb-be2f-ce9364f2a3ba,42.377398,-82.986795
124,female,"Chinese (Traditional)",Ms.,錦蔚,威,段,"1847 Boundary Street",Jacksonville,FL,Florida,32202,US,"United States",DuanJinYu@superrito.com,Thance,ziuLeug4ae,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36",904-588-6924,1,閻,5/24/1957,62,Gemini,Visa,4485582687188964,759,4/2025,594-60-6111,"1Z 080 Y51 30 2338 018 7",1735360060,30254815,Red,"Hand sewer","Zany Brainy","2014 Toyota Tundra",vigilantrm.com,B+,172.7,78.5,"5' 6""",167,72518ad7-a39d-4329-8c1e-4b9899ed5623,30.261555,-81.567959
125,female,"Chinese (Traditional)",Dr.,郁雯,騰,龍,"4583 Wayside Lane",Oakland,CA,California,94612,US,"United States",MangYuWen@jourrapide.com,Wentop1940,iex1Aeg3Ae,"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36",510-288-8413,1,譚,9/19/1940,79,Virgo,Visa,4556636642123062,200,12/2023,610-53-2815,"1Z 679 089 52 1408 471 1",3743148560,83597838,Green,"Coding specialist","A. L. Price","1996 Daewoo Nexia",leechunhow.com,B+,122.5,55.7,"5' 1""",154,b43bf1b6-56c1-413f-a456-b1c3a4404acf,37.831295,-122.339262
126,male,"Chinese (Traditional)",Mr.,羽軒,雅,邢,"788 New Street","Oregon Slope",OR,Oregon,97914,US,"United States",GengHuJian@einrot.com,Solish,aighei1iLee,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.103 YaBrowser/19.4.2.702 Yowser/2.5 Safari/537.36",541-262-7368,1,廖,9/18/1960,59,Virgo,MasterCard,5184008953470853,018,10/2024,542-19-6854,"1Z 06W 3E7 54 5086 929 5",5289083003,98096498,Blue,"Mechanical door repairer","Tech Hifi","1998 Lancia Delta",boycb.com,O+,204.6,93.0,"6' 1""",185,1a7a29b0-bc54-4c60-93ff-f6e9645e6e5e,44.128449,-116.886018
127,female,"Chinese (Traditional)",Mrs.,雅萱,丞,施,"2910 Reynolds Alley","Los Angeles",CA,California,90017,US,"United States",YiYaXuan@armyspy.com,Cambactint1996,Do9taetoy,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:66.0) Gecko/20100101 Firefox/66.0",562-315-8912,1,吳,3/15/1996,24,Pisces,Visa,4916185355238894,212,10/2023,618-54-8062,"1Z 864 136 93 3461 727 8",2552000992,87537597,Silver,"Radiologic technician","Boys Markets","2012 Ford Galaxy",consolechart.com,B-,102.5,46.6,"5' 4""",162,10e7ed6d-d348-4bf4-95ec-372a36402dbf,34.032215,-118.184566
128,female,"Chinese (Traditional)",Mrs.,令宜,維,賀,"393 Alexander Avenue",Concord,CA,California,94520,US,"United States",HeLingYi@einrot.com,Whencer,eeR7ieWof0,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.103 Safari/537.36",925-639-1880,1,鄒,4/28/1951,68,Taurus,Visa,4556675443685341,940,1/2023,553-44-0593,"1Z 540 A37 41 0141 617 1",7231149619,32551993,Blue,"Industrial equipment technician","Golden Dawn","2002 Jaguar XK8",amorafotografia.com,B+,113.3,51.5,"5' 6""",168,acbcdfd1-c37c-46cd-84c6-b26384f98e16,37.921874,-122.072482
129,female,"Chinese (Traditional)",Ms.,雅雯,彥,萬,"1721 Gandy Street",Syracuse,NY,"New York",13202,US,"United States",WanYaWen@jourrapide.com,Grathe,Ifuoph0n,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_3) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.3 Safari/605.1.15",315-218-2544,1,蔡,9/3/1950,69,Virgo,MasterCard,5528497550562433,263,3/2021,105-07-5120,"1Z 619 134 93 5854 094 8",6691719245,96213902,Blue,"Financial aid director","The Jolly Farmer","1996 Daihatsu Mira",gaudiradler.com,A+,170.1,77.3,"5' 2""",157,90134cc6-7701-4742-a412-52a7495542f8,43.000869,-76.122355
130,female,"Chinese (Traditional)",Ms.,郁婷,愛,雷,"2271 Scott Street","White Plains",NY,"New York",10601,US,"United States",LeiYuTing@armyspy.com,Aceas1950,pei6Ukie0u,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36",845-531-0779,1,何,7/2/1950,69,Cancer,Visa,4716366636049514,906,2/2023,079-56-3294,"1Z E86 912 77 6324 269 3",8839514829,36361174,Blue,Clergy,Roberd's,"2002 Mercedes-Benz A",vacuumbrain.com,O+,188.5,85.7,"5' 7""",170,a64ee344-0797-4245-a607-a30bb0cb0293,41.015874,-73.661115
131,male,"Chinese (Traditional)",Mr.,富奎,雅,馬,"3521 College Avenue",Hillsboro,OH,Ohio,45133,US,"United States",MaFuKui@rhyta.com,Foryanceir46,Eequ1sing9ai,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.108 Safari/537.36",937-393-1553,1,邱,3/28/1946,74,Aries,Visa,4539018233858541,134,10/2023,300-09-8913,"1Z V13 534 12 2964 425 1",1640802731,40291861,Blue,Poet,"Strength Gurus","2012 Kia Picanto",thriveintl.com,O+,161.9,73.6,"5' 7""",170,6f2460df-b646-4543-b7f5-0c43cdb959d5,39.194456,-83.623136
132,male,"Chinese (Traditional)",Mr.,芊曄,靜,胡,"3102 Water Street","San Ramon",CA,California,94583,US,"United States",HuQianYe@jourrapide.com,Evisold,WuapahP8,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_3) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.3 Safari/605.1.15",925-355-2237,1,倪,8/7/1990,29,Leo,Visa,4716871147416169,730,11/2021,625-38-6440,"1Z 67Y 071 94 0449 608 9",0005121616,97748237,Blue,"Furnace, kiln, oven, drier, and kettle operator","Block Distributors","2009 Mercedes-Benz R",asyouwishgifts.com,O-,229.0,104.1,"5' 6""",168,90eab357-d56c-4bd2-b431-803aa62ca0f7,37.820245,-121.988133
133,female,"Chinese (Traditional)",Mrs.,馥羽,晨,姜,"4101 Cardinal Lane",Raymond,IL,Illinois,62560,US,"United States",JiangBiHu@jourrapide.com,Neizies,Ie4iPa2ee,"Mozilla/5.0 (Windows NT 6.1; rv:60.0) Gecko/20100101 Firefox/60.0",217-229-7319,1,賀,4/1/1960,60,Aries,Visa,4916347414133538,448,7/2024,319-44-4665,"1Z 333 544 67 6905 604 9",2006665718,80867727,Brown,"Account clerk","Modern Realty","2012 Suzuki Alto",donutaya.com,A+,151.8,69.0,"5' 3""",161,f45d6810-5105-4a88-a97c-5d919537496d,39.215709,-89.622637
134,male,"Chinese (Traditional)",Mr.,建宏,怡,宋,"2833 Pointe Lane",Hollywood,FL,Florida,33020,US,"United States",SongJianHong@armyspy.com,Retticuld,boo2iPhah7,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.103 Safari/537.36",954-925-1637,1,錢,2/18/1970,50,Aquarius,MasterCard,5401706121178079,367,10/2023,766-24-2251,"1Z 172 846 24 8179 943 7",0401981190,91797272,Blue,"Labor contractor",Edwards,"2002 Chevrolet Tracker",easyweddinghelp.com,B+,213.8,97.2,"5' 11""",180,1163682d-256f-4d7a-acf8-f99966d95995,25.997439,-80.162412
135,female,"Chinese (Traditional)",Mrs.,宛妤,志,麥,"4908 Irving Place","Saint Charles",MO,Missouri,63301,US,"United States",MaiYuanYu@jourrapide.com,Mact2000,thi4iar0Jai,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.157 Safari/537.36",636-328-3477,1,萬,7/19/2000,19,Cancer,Visa,4485859611121687,678,7/2022,499-09-9108,"1Z 05Y 889 55 0773 936 0",4187975797,02044758,Blue,Weathercaster,"Club Wholesale","2008 Volkswagen Bora",pamownsdan.com,B+,103.2,46.9,"5' 0""",152,372ad593-2ffb-43f6-9a8e-cda6e6b24bb8,38.921614,-90.557954
136,male,"Chinese (Traditional)",Mr.,棋茗,琬,田,"738 Berkley Street",Portland,PA,Pennsylvania,97205,US,"United States",TianJiMing@fleckens.hu,Counwent,Ci9gach2obee,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.103 Safari/537.36",484-872-9247,1,董,7/7/1943,76,Cancer,Visa,4929860958425719,192,7/2025,173-44-4478,"1Z 53F 761 35 8709 468 5",8585343252,72136869,Black,"Power plant dispatcher",Lum's,"2008 Volvo S80",thewesthill.com,O+,160.2,72.8,"5' 9""",176,9423eecc-900c-4965-ab59-61b2c63dcb9b,45.587778,-122.640208
137,male,"Chinese (Traditional)",Mr.,又綺,宜,余,"1485 Hazelwood Avenue","West Des Moines",IA,Iowa,50266,US,"United States",XuYouYi@jourrapide.com,Relp1954,iPh9seegh,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:66.0) Gecko/20100101 Firefox/66.0",515-327-7928,1,毛,1/13/1954,66,Capricorn,MasterCard,5270924605674855,608,11/2023,479-32-7657,"1Z 533 517 25 4165 410 9",6488667997,52387560,Green,"Golf course architect",d.e.m.o.,"1998 Seat Cordoba",icefnb.com,O+,235.6,107.1,"5' 10""",177,a5cb69b3-68ba-4fb9-96f2-6b3c92c46134,41.549845,-93.809789
138,male,"Chinese (Traditional)",Mr.,玠宇,紹,曾,"4057 Cityview Drive",Coatesville,PA,Pennsylvania,19320,US,"United States",ZengJieYu@fleckens.hu,Knowded,iem3IeXu,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1 Safari/605.1.15",610-486-9029,1,賈,11/28/1992,27,Sagittarius,Visa,4539201939598518,207,8/2025,205-80-0571,"1Z 497 F50 80 6598 484 4",8291094298,80196026,Blue,"Treatment plant and system operator","Infinite Wealth Planners","2008 Audi S8",lspcastore.com,O+,188.1,85.5,"6' 2""",189,6e939cd3-8911-45dc-a353-71c43fd00f44,40.046828,-75.908707
139,female,"Chinese (Traditional)",Ms.,宜庭,世,何,"1894 Bottom Lane",Gasport,NY,"New York",14067,US,"United States",HeYiTing@jourrapide.com,Dickent1959,echiethae3Ae,"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36",716-772-2016,1,郝,6/8/1959,60,Gemini,Visa,4929325009168551,440,8/2023,093-84-8288,"1Z 935 650 23 7376 128 1",7145000746,54025782,Yellow,"Patient representative",Chandlers,"2012 Mercedes-Benz S",obriley.com,O+,226.8,103.1,"5' 6""",168,484e241d-7b38-4e56-9324-277f3bb8b2e6,43.187899,-78.65446
140,female,"Chinese (Traditional)",Ms.,雅惠,令,呂,"2264 Goldcliff Circle",Washington,DC,"Washington DC",20024,US,"United States",LuYaHui@jourrapide.com,Jusparn,tixu4wooY,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.157 Safari/537.36",202-609-7465,1,萬,11/18/1963,56,Scorpio,MasterCard,5595135490403601,041,5/2023,577-21-6051,"1Z 8F5 2F4 84 6648 806 7",2674781753,55143371,Blue,"Traffic clerk","Sounds of Soul Records & Tapes","2011 Proton Savvy",avchampion.com,O-,147.2,66.9,"5' 3""",159,8e454581-3eec-4f0a-a39e-b6421bd274ce,38.914286,-77.003483
141,male,"Chinese (Traditional)",Mr.,勤曜,佩,蕭,"4711 Indiana Avenue",Honolulu,HI,Hawaii,96814,US,"United States",XiaoQinYao@einrot.com,Parsomen,Aequo4ag9a,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:66.0) Gecko/20100101 Firefox/66.0",808-641-1349,1,廖,2/2/1996,24,Aquarius,MasterCard,5510966386143840,411,6/2023,576-72-5740,"1Z 602 546 68 7770 302 6",3991816039,17016590,Blue,"Tractor driver","Castro Convertibles","2008 GMC Savana",ekonomiguru.com,A+,206.4,93.8,"6' 0""",182,ad0a810a-1a08-49b7-8a8c-9be5c506b2b5,21.202745,-157.867206
142,male,"Chinese (Traditional)",Mr.,阡華,映,林,"1264 Beech Street",Pleasanton,CA,California,94588,US,"United States",LinQianHua@jourrapide.com,Wely1961,phaePaizoh7U,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36",925-730-9545,1,葛,12/7/1961,58,Sagittarius,Visa,4532206965662861,182,3/2025,564-27-3828,"1Z 076 950 40 6023 694 0",0086497752,11957212,Red,Florist,"Fradkin Brothers Furniture","2011 Chrysler Voyager",forgebeta.com,A+,206.1,93.7,"6' 0""",184,f02f8090-d5bd-4f5f-a635-59245e088ac8,37.717957,-122.024536
143,male,"Chinese (Traditional)",Mr.,文帝,雅,秦,"3923 Cooks Mine Road",Navajo,NM,"New Mexico",87328,US,"United States",QinWenDi@einrot.com,Jewent,EC2uTie3,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36",505-777-7541,1,石,12/9/1972,47,Sagittarius,MasterCard,5113672834395161,345,6/2021,525-71-4928,"1Z 322 717 49 0784 270 3",5556485896,40205333,Blue,"Window clerk","Happy Family","1996 Volvo V40",lowpricephones.com,O+,229.2,104.2,"6' 0""",182,8dc2918f-55bb-42e0-b2a2-87a8ff287443,36.022312,-109.127411
144,female,"Chinese (Traditional)",Ms.,馥羽,承,劉,"2641 Harper Street",Madisonville,KY,Kentucky,42431,US,"United States",FuBiHu@rhyta.com,Ardegia,uY2aek3koa,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.157 Safari/537.36",270-503-9181,1,任,11/23/1988,31,Sagittarius,Visa,4716045490689413,006,6/2023,401-56-0512,"1Z 86W 2W0 48 4710 435 1",5226012936,05792545,Red,"Scientific photographer","Blockbuster Music","2003 Ford F-250",cornerandcorner.com,A+,156.0,70.9,"5' 4""",162,d101ca8f-bcf2-43ed-b1a6-0f01071e63b6,37.311827,-87.406835
145,male,"Chinese (Traditional)",Mr.,雅恩,詩,蔣,"4372 Shady Pines Drive",Norton,VA,Virginia,24273,US,"United States",JiangYaEn@teleworm.us,Repask,wexu6Eobih,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36",276-275-5859,1,黎,5/11/1996,23,Taurus,Visa,4532247515103097,687,2/2021,697-01-6075,"1Z 716 7A7 61 5599 723 3",4969615179,14461994,Blue,Sportscaster,"Federated Group","2010 Citroen C6",IndieMovement.com,O+,222.9,101.3,"5' 10""",178,edce1c7f-5dbe-4b27-86a6-0c32218ee02a,36.893126,-82.603735
146,male,"Chinese (Traditional)",Mr.,哲揚,佩,呂,"1908 Patterson Fork Road",Chicago,IL,Illinois,60606,US,"United States",LuZheYang@rhyta.com,Laisslange,zie7aeNgeich,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36",312-658-9019,1,宋,4/27/1934,85,Taurus,MasterCard,5471884521516589,188,1/2025,349-94-8519,"1Z 0V7 942 26 8652 326 5",1306982249,98189063,Green,"Lathe and turning machine tool setter","Morrie Mages","2004 Lotec C 1000",gerberacorp.com,B+,206.1,93.7,"5' 9""",174,8cead139-97e8-483c-8930-55d7f8b2f7ed,41.899189,-87.681745
147,male,"Chinese (Traditional)",Mr.,京樺,雅,徐,"4898 Burnside Avenue",Halchita,UT,Utah,84534,US,"United States",XuJingHua@fleckens.hu,Bradoet1985,aeMaefe1E,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:66.0) Gecko/20100101 Firefox/66.0",435-739-3834,1,任,3/14/1985,35,Pisces,Visa,4929725071483558,703,11/2021,646-38-1291,"1Z 743 85F 73 2626 528 4",3552297465,84993123,Blue,"Residential advisor","Present Company","1995 Toyota Lexcen",voanewsenglish.com,O+,197.3,89.7,"5' 9""",175,17e80202-dd26-45ac-858c-0af42d7e29d9,37.174413,-109.955428
148,male,"Chinese (Traditional)",Dr.,啟序,佳,董,"3206 Star Trek Drive","Fort Walton Beach",FL,Florida,32548,US,"United States",ZhongZheXu@armyspy.com,Thermand,ohvahNg3ai,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.157 Safari/537.36",850-420-5666,1,程,6/17/1975,44,Gemini,MasterCard,5233955917969647,579,2/2023,591-54-5895,"1Z 78E 528 51 9159 001 4",5137545169,13468217,Blue,"Personnel assistant","Buena Vista Realty Service","2008 Lexus ES",mysticships.com,A-,208.8,94.9,"5' 10""",179,55813299-b8e8-4225-9fb1-ddd87385d918,30.354255,-86.623916
149,male,"Chinese (Traditional)",Mr.,威廷,育,蘇,"2125 Waterview Lane",Albuquerque,NM,"New Mexico",87102,US,"United States",SuWeiTing@einrot.com,Olleefors,eit2ainge6Ee,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.103 Safari/537.36",505-514-1284,1,路,9/26/1968,51,Libra,MasterCard,5264287799851939,618,3/2021,525-91-2683,"1Z 32F E28 79 1300 819 3",6827733693,66922459,Blue,"Government accountant","Shabby Chic","2008 Chevrolet Malibu",wxcbxg.com,O+,148.3,67.4,"6' 0""",182,2760936d-3601-4408-87c5-9df5738b7ded,35.082797,-106.666503
150,female,"Chinese (Traditional)",Ms.,筱涵,家,崔,"4832 Berkshire Circle",Knoxville,TN,Tennessee,37917,US,"United States",CuiXiaoHan@einrot.com,Complem1949,eRoa6aing2b,"Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36",865-544-7675,1,呂,3/29/1949,71,Aries,MasterCard,5537622053601235,477,5/2023,408-21-2341,"1Z 331 373 52 2599 763 3",0700427386,19000330,Blue,"Office machine and cash register technician","Karl's Shoes","2007 Fiat Ducato",mcsstage.com,A+,123.4,56.1,"5' 3""",159,b611a12e-5c28-40ef-8b90-19bacd97bfe8,36.001703,-83.831368
151,female,"Chinese (Traditional)",Mrs.,孝慈,聖,曾,"2205 Rocky Road",Philadelphia,PA,Pennsylvania,19104,US,"United States",ZengXiaoCi@gustr.com,Fien1992,ish1eogi9Nee,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:66.0) Gecko/20100101 Firefox/66.0",215-620-5776,1,賈,4/5/1992,28,Aries,Visa,4539118450307170,701,4/2025,211-24-9134,"1Z 839 946 92 2843 660 5",6526708150,96417139,Blue,"Creative writer","National Hardgoods Distributors","2006 BMW X3",royaltygaming.com,B+,168.7,76.7,"5' 8""",172,c58d2a3f-c151-42d0-a0b8-0add35d2f2d8,39.975793,-75.101185
152,female,"Chinese (Traditional)",Mrs.,﻿德依,志,杜,"4661 Red Maple Drive",Hollywood,CA,California,90028,US,"United States",DuDeYi@einrot.com,Abould,zohngooC0yoh,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.103 Safari/537.36",323-469-5445,1,方,8/18/1952,67,Leo,Visa,4532119294611451,990,11/2025,547-09-5645,"1Z 431 77E 83 9974 760 5",3405738680,69755795,Blue,"Operating room technician","Wealth Zone Group","1998 Toyota Sienna",kiotiexpedite.com,B+,154.9,70.4,"5' 3""",161,5d8f3be5-980f-4377-9e1a-a1e505deaab7,34.136529,-118.30846
